Day,FNC,TFRatio,WVC_FNC,N0,Rainfall,AbsHum,Soil,AirT,AirP,RelHum
734742.5,2833.25,0.4507,3068.2376,4018.17334,0,0.0154,0.0355,31.0576,902.2115,48.3901
734743.5,2839.625,0.4465,3045.1463,3979.490582,0,0.0135,0.0347,31.6653,901.1104,41.0551
734744.5,2861.75,0.4487,3040.4082,3964.038456,0,0.0116,0.0338,32.8194,899.6372,33.0625
734745.5,2902.4583,0.4419,3079.5648,4004.942902,0,0.0113,0.0328,33.7431,898.2448,30.8754
734746.5,2890.7083,0.4385,3083.4354,4001.402897,0,0.0124,0.0319,32.2372,898.4274,36.1096
734747.5,2894.9167,0.4518,3074.7948,3983.045201,0,0.0115,0.0312,31.3552,899.3545,35.2009
734748.5,2851.2917,0.4573,3059.2667,3960.790772,0.9417,0.0136,0.031,29.7684,900.1875,45.6907
734749.5,2921.75,0.4492,3089.3742,3999.745386,0,0.0107,0.031,30.7785,899.6462,33.7131
734750.5,2938.7917,0.441,3114.0336,4025.601801,0.2583,0.0111,0.0304,31.3747,900.1934,33.8892
734751.5,2869.3333,0.4508,3094.2001,3997.408882,0.1,0.0145,0.0302,28.1486,901.9059,53.3157
734752.5,2871.625,0.4449,3114.6968,4027.014955,0,0.0157,0.0305,29.9542,902.201,52.36
734753.5,2932.5417,0.4446,3137.5076,4052.14277,0,0.013,0.0301,31.4024,903.1694,40.0526
734754.5,2938.6667,0.4518,3105.8445,4006.878871,2.5083,0.0105,0.0296,29.8521,902.1483,33.8513
734755.5,2620.9583,0.5069,2804.5349,3748.34449,44.8462,0.0131,0.044,27.9278,898.7528,50.0765
734756.5,2156.0417,0.5709,2304.1538,3460.410715,1.5538,0.0128,0.1042,23.4264,902.0715,61.7994
734757.5,2368.8516,0.5298,2543.0229,3753.753282,0,0.0138,0.0937,25.6354,906.2066,58.0964
734758.5,2282.6302,0.5462,2459.3764,3582.013682,4.0462,0.0143,0.086,22.9264,907.9205,69.8978
734759.5,2207.7083,0.565,2373.1269,3474.546186,14.3846,0.0139,0.089,23.2472,905.184,66.9263
734760.5,2096,0.5831,2266.1295,3398.807641,1.5462,0.0151,0.1033,22.692,901.7358,75.2763
734761.5,2186.375,0.56,2359.6584,3511.315414,0.7846,0.0147,0.0985,22.6656,901.3326,73.186
734762.5,2287.5417,0.5243,2431.0792,3584.718934,0,0.0117,0.0931,24.9451,902.5399,51.3809
734763.5,2353.875,0.5166,2492.2595,3627.953134,0,0.011,0.0857,24.9448,904.3892,48.1192
734764.5,2428.1667,0.5157,2558.1884,3680.464133,0,0.0099,0.0793,25.3951,905.5229,42.7188
734765.5,2536.8333,0.4926,2675.7014,3805.141666,0,0.0102,0.0732,26.7788,903.5597,40.279
734766.5,2562.5833,0.4876,2692.6927,3786.652787,0,0.0094,0.0675,27.4399,901.6497,35.3394
734767.5,2578.6667,0.4807,2694.5517,3752.943593,0,0.0083,0.0627,26.9344,902.5097,32.917
734768.5,2633.0833,0.4668,2761.9511,3819.770292,0,0.0091,0.0594,27.1021,904.4264,35.3503
734769.5,2685.2917,0.4649,2814.5015,3869.128658,0,0.009,0.0565,28.0847,904.4486,33.1117
734770.5,2694.2917,0.4682,2803.5226,3830.566831,0,0.0075,0.0537,28.7222,901.8965,26.6903
734771.5,2712.2083,0.4598,2813.4136,3824.729627,0,0.0069,0.0514,27.0622,901.0028,26.5634
734772.5,2737.0417,0.4623,2858.4215,3866.913443,0.7923,0.0082,0.0492,25.7677,902.1531,34.7243
734773.5,2692.375,0.4733,2846.7782,3837.347865,0.6154,0.0106,0.0477,22.2594,904.2507,53.7917
734774.5,2723.625,0.4667,2870.9962,3864.664316,0,0.01,0.0471,24.7681,904.0708,44.8424
734775.5,2735.25,0.4613,2889.3787,3881.982676,0,0.0105,0.0462,26.5285,903.0351,42.3089
734776.5,2769.625,0.4563,2908.0866,3894.99595,0,0.0093,0.0449,27.867,903.2122,34.7953
734777.5,2778.2083,0.4547,2928.4248,3911.498872,0.1077,0.01,0.0437,25.7833,904.1688,41.6725
734778.5,2764.4583,0.4565,2942.6363,3921.781867,0.0077,0.012,0.0428,25.6313,904.0052,50.5865
734779.5,2802.2083,0.453,2948.988,3922.435451,0,0.0097,0.0419,26.0378,903.0257,40.3803
734780.5,2841.2083,0.4498,2959.9773,3929.093551,0,0.0077,0.0411,23.1247,900.5976,36.5701
734781.5,2820.5,0.4533,2925.2195,3874.781015,0,0.0069,0.0402,21.5983,899.5472,37.1856
734782.5,2817.5833,0.4531,2926.9339,3870.655105,0,0.0072,0.0395,16.1177,899.0878,54.2366
734783.5,2921.0417,0.4495,3006.9569,3971.963387,0,0.0055,0.039,13.8701,902.9035,44.732
734784.5,3002.25,0.4406,3070.4915,4050.721765,0,0.0042,0.0385,14.3592,903.0205,34.0352
734785.5,3021.5833,0.437,3097.0475,4082.043755,0,0.0046,0.0382,17.2243,901.6201,32.1467
734786.5,3030.75,0.4394,3111.3308,4099.599097,0,0.005,0.038,19.3205,900.8521,30.249
734787.5,3064.7917,0.4313,3147.3354,4143.223012,0,0.005,0.0376,20.6247,901.0965,28.2826
734788.5,2993.125,0.4428,3085.5985,4058.295929,0,0.0057,0.0373,23.0028,901.3438,28.261
734789.5,2948.6667,0.4388,3046.1761,4002.45421,0,0.0062,0.0369,24.8208,901.1313,27.0718
734790.5,2974.6667,0.4379,3066.651,4024.860182,0,0.0058,0.0364,25.0938,901.4844,24.7815
734791.5,2989.375,0.4325,3081.6742,4039.304686,0,0.0058,0.0359,26.0302,902.1507,23.4686
734792.5,2988.7917,0.4311,3074.9459,4024.905186,0,0.0053,0.0353,24.5288,903.8215,23.4724
734793.5,2964.25,0.4333,3056.657,3996.381452,0,0.0058,0.0349,23.7424,904.4104,26.6238
734794.5,2989.6667,0.4346,3086.1625,4030.842247,0,0.006,0.0345,24.3611,903.1903,26.9461
734795.5,3023.4583,0.4298,3114.5975,4064.266904,0,0.0056,0.0341,24.2542,901.5826,25.2808
734796.5,2999.7083,0.4288,3087.7459,4025.999497,0,0.0054,0.0338,23.5035,904.6514,25.3364
734797.5,2961.2083,0.4426,3079.1778,4011.938409,0,0.0074,0.0335,23.5795,905.7743,34.7569
734798.5,2971.7083,0.434,3095.6638,4031.060033,0,0.0078,0.0333,23.4306,904.726,36.3906
734799.5,2993.0417,0.4345,3100.9237,4035.343406,0,0.0067,0.033,23.551,904.1733,31.375
734800.5,2966.0833,0.4371,3067.749,3988.500942,0.0385,0.0063,0.0327,22.691,904.4059,31.4076
734801.5,2972.625,0.4362,3083.4964,4007.588686,0,0.0069,0.0325,23.2375,902.8344,33.1963
734802.5,2934.5833,0.4381,3040.0032,3948.201709,0,0.0067,0.0322,19.0739,899.983,38.4638
734803.5,3035.5,0.4319,3099.9452,4021.039389,0,0.0039,0.0317,14.6792,903.2326,31.2967
734804.5,3045,0.4305,3135.4077,4066.656432,0,0.0055,0.0317,18.4592,905.05,35.7619
734805.5,3034.75,0.4324,3121.8154,4048.234132,0,0.0053,0.0316,18.6906,904.9097,33.1903
734806.5,3042.75,0.4311,3131.0108,4058.696273,0,0.0054,0.0315,19.8226,905.6007,31.5944
734807.5,3046,0.4302,3127.6798,4052.988895,0,0.005,0.0314,20.7153,903.2747,27.9174
734808.5,3061.375,0.4301,3135.6607,4061.827451,0,0.0045,0.0312,20.7469,902.1691,24.9418
734809.5,3057.2917,0.4262,3121.3632,4039.987665,0,0.0039,0.0309,16.1097,906.7469,27.643
734810.5,3091.25,0.4276,3159.3957,4087.17065,0,0.0041,0.0307,18.7524,903.1472,26.3557
734811.5,3047.5,0.4292,3127.7172,4044.783078,0,0.0049,0.0306,18.0536,896.5517,32.4964
734812.5,2747,0.5029,2831.5348,3723.028965,8.4,0.0057,0.0372,11.1489,901.8337,55.8962
734813.5,2721,0.5062,2807.0587,3720.108853,0,0.0059,0.0404,11.5367,902.433,56.7614
734814.5,2683.375,0.5028,2758.8565,3658.184982,2.1667,0.0052,0.0406,7.3198,905.2083,65.016
734815.5,2735.3333,0.5035,2812.8521,3737.676443,0,0.0053,0.0415,7.8765,909.1573,64.6102
734816.5,2752,0.4964,2829.1316,3761.311048,0.0111,0.0052,0.0417,12.9653,909.9806,49.2715
734817.5,2816.375,0.4771,2865.0608,3811.689521,0,0.0032,0.042,15.3094,907.8451,24.7857
734818.5,2831.125,0.4746,2899.2982,3854.062852,0,0.0044,0.0417,15.3718,902.9538,34.2821
734819.5,2803.5833,0.4763,2878.4034,3825.133001,0,0.0049,0.0416,16.0021,901.4531,36.6606
734820.5,2570.6667,0.5187,2695.4975,3603.974428,7.7556,0.009,0.0441,12.0381,901.8003,84.7341
734821.5,2436.5,0.5448,2547.7252,3503.473784,0.1222,0.0085,0.0567,12.4897,901.8073,77.4018
734822.5,2535.375,0.52,2643.3115,3640.532459,0,0.0079,0.0574,12.2871,904.4847,72.9231
734823.5,2568.5,0.5137,2677.4838,3671.982041,0,0.0079,0.0554,13.1466,907.275,69.4085
