DATE,DP>0.1,DP>0.5,DP>1.0,TPCP (hundredths of inch)
198005,0,0,0,0
198006,1,0,0,23
198007,5,1,0,178
198008,4,2,0,195
198009,5,2,1,293
198010,1,0,0,22
198011,0,0,0,0
198012,1,0,0,19
198101,3,1,0,129
198102,1,1,0,71
198103,5,2,0,198
198104,2,0,0,56
198105,1,0,0,26
198106,1,0,0,16
198107,9,6,2,617
198108,2,1,0,80
198109,4,1,0,110
198110,0,0,0,6
198111,1,1,0,61
198112,0,0,0,0
198201,4,0,0,156
198202,0,0,0,6
198203,2,1,0,126
198204,0,0,0,5
198205,3,0,0,51
198206,1,0,0,13
198207,4,1,0,213
198208,6,2,1,251
198209,3,3,2,269
198210,0,0,0,0
198211,3,1,0,130
198212,6,1,0,159
198301,4,2,0,170
198302,3,0,0,94
198303,4,1,0,128
198304,0,0,0,14
198305,0,0,0,0
198306,0,0,0,0
198307,5,1,0,198
198308,9,5,1,424
198309,10,2,1,428
198310,3,3,2,498
198311,3,2,0,171
198312,2,0,0,61
198401,2,0,0,62
198402,0,0,0,0
198403,0,0,0,0
198404,3,0,0,36
198405,0,0,0,6
198406,2,1,0,105
198407,9,0,0,292
198408,10,2,0,419
198409,2,1,1,181
198410,3,0,0,77
198411,2,0,0,45
198412,8,3,0,330
198501,4,2,0,171
198502,4,1,0,108
198503,1,0,0,20
198504,1,0,0,45
198505,0,0,0,0
198506,0,0,0,7
198507,6,2,1,314
198508,5,1,0,197
198509,3,1,0,113
198510,3,3,0,203
198511,3,0,0,95
198512,1,0,0,15
198601,1,1,0,98
198602,4,0,0,113
198603,4,1,0,130
198604,0,0,0,0
198605,1,0,0,44
198606,0,0,0,6
198607,4,1,1,182
198608,9,2,0,356
198609,1,0,0,31
198610,2,0,0,50
198611,3,0,0,42
198612,3,1,0,128
198701,2,0,0,59
198702,2,2,1,164
198703,3,1,0,83
198704,3,0,0,80
198705,3,0,0,74
198706,0,0,0,16
198707,2,0,0,37
198708,6,2,1,279
198709,3,3,0,230
198710,2,0,0,34
198711,1,0,0,44
198712,5,1,0,150
198801,2,0,0,41
198802,2,0,0,53
198803,1,0,0,35
198804,2,1,0,115
198805,0,0,0,2
198806,0,0,0,15
198807,6,0,0,169
198808,6,3,1,364
198809,2,1,0,80
198810,3,2,0,209
198811,3,0,0,75
198812,0,0,0,5
198901,3,0,0,96
198902,1,0,0,23
198903,1,1,0,62
198904,0,0,0,0
198905,1,0,0,13
198906,0,0,0,6
198907,4,0,0,142
198908,4,0,0,90
198909,0,0,0,2
198910,4,1,1,184
198911,0,0,0,12
198912,1,0,0,18
199001,3,0,0,96
199002,3,0,0,71
199003,2,0,0,38
199004,0,0,0,10
199005,0,0,0,3
199006,2,0,0,64
199007,11,4,3,545
199008,6,1,1,270
199009,4,1,0,163
199010,1,1,0,58
199011,1,0,0,23
199012,7,0,0,154
199101,2,1,0,115
199102,2,1,0,91
199103,4,0,0,140
199104,0,0,0,0
199105,0,0,0,0
199106,1,0,0,20
199107,3,0,0,44
199108,4,1,1,217
199109,2,1,1,154
199110,2,1,0,73
199111,3,0,0,80
199112,6,0,0,144
199201,5,0,0,121
199202,4,1,0,180
199203,5,1,0,212
199204,1,0,0,19
199205,5,0,0,111
199206,0,0,0,7
199207,4,0,0,93
199208,8,2,2,455
199209,1,1,0,94
199210,0,0,0,3
199211,0,0,0,0
199212,6,3,1,347
199301,8,3,2,481
199302,4,0,0,150
199303,2,0,0,49
199304,0,0,0,0
199305,2,0,0,59
199306,0,0,0,2
199307,1,0,0,26
199308,8,4,1,493
199309,1,0,0,46
199310,3,1,0,81
199311,2,1,0,98
199312,1,0,0,14
199401,0,0,0,2
199402,3,1,0,103
199403,4,1,0,114
199404,0,0,0,4
199405,2,0,0,52
199406,1,0,0,26
199407,2,0,0,41
199408,1,0,0,45
199409,2,1,1,146
199410,2,0,0,76
