Station,Elevation,UTM_x,UTM_y,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
MWEA IRRIGATION SCHEME,0,315496.8625,9923172.03,,,665.2000039,798.1000009,730.1000025,684.4000008,1227.700008,1184.900006,1078.999999,740.0000056,1300.699992,1176.099991,657.6999971,613.9000034,906.5000017,866.4999975,886.9000111,1175.600002,1105.899994,1283.2,671.3999988,1013.199995,749.0999984,1029.499996,992.3000021,585.4999972,1206.699999,,
NANYUKI KAF,2125,280873.6357,4724.146922,816.9999992,654.9000019,614.4999977,789.6000041,678.8000019,775.3999948,879.1999976,832.5999979,644.7999997,304.2000018,,,583.0000042,362.7000025,462.9000016,796.7999991,467.9000004,614.6000017,761.300003,660.200001,539.8999991,640.2000003,423.6999991,605.0000017,697.6000053,565.3999991,970.1000007,1044.200003,456.3000005
NARO MORU GATE STN,2671,293829.0187,9981023.89,1033.2,1219.099997,986.9000021,1000.850001,1014.8,1041.200002,1360.299998,1389.000001,1146.200004,780.8000028,1378,1222.400004,965.2999965,880.5000006,1061.800008,819.5000017,785.8999992,1066.800001,1135.800004,1301.699999,756.3999996,1104.700003,1252.099998,1214.800001,1268.499998,888.8000013,1127.800003,1366.800004,1056.300004
NICOLSON FARM,2138,280194.1152,9990523.35,704.1999996,605.3000026,584.9000012,676.7000049,722.6000063,759.600005,1049.800002,966.8000081,882.3000076,520.9000024,774.2000039,741.3000021,679.8999953,560.2999943,700.4999937,786.099994,623.1999984,1026.599989,930.1999953,887.6999946,569.3999946,592.8999982,,,958.6999976,624.4000019,1023.6,781.0999985,494.3000013
OL DONYO FARM,2627,309910.7418,10674.95601,571.7000024,636.9000015,452.6000007,549.4000048,633.500001,490.1000024,935.4000019,677.1000027,589.0000019,341.9000034,724.000006,656.500002,558.6999961,290.999996,551.799999,724.4999914,415.8999966,973.9999975,600.4999958,541.6000007,450.3999963,501.6999987,589.2999923,784.4999918,678.9999951,567.560002,1025.05,886.7220016,332.4859999
OL JOGI FARM,1978,270990.5395,34572.77553,524.6000015,622.1999983,318.2000007,378.9000034,673.000003,429.100001,776.299997,557.5999998,498.3999986,245.6000011,722.7000004,575.5,758,187.5,395.5,670,356,850,610,696,237.2,426.0000002,359.2000002,574.3000014,631.2000014,365.1499982,1124.599995,,
OL MYSOR FARM,2061,239206.3103,46166.69162,660.9999986,461.4999998,428.2999986,473.7999962,761.1999989,514.3999997,1243.6,621.2000005,683.7000014,331.4999981,795.8000005,604.5000018,599.7000002,182.4000002,522.4000023,510.0999996,350.4999991,1002.100001,693.1999981,593.9000054,537.5999979,573.5999988,545.3999981,798.6000029,655.099997,776.3,956.5999983,897.5000062,405.0999995
OL PEJETA FARM,2122,255941.5709,7052.59237,728.4999912,542.3,610.3999984,711.7999978,679.7499999,647.7000019,1086.104001,900.2999864,988.8999884,480.4999927,939.1999917,671.299995,802.0999947,552.9999915,614.3999951,617.6999934,453.199995,1001.799989,992.7999878,633.5999914,610.2999933,574.2999887,,,693.1000013,663.1999955,995.2100034,659.3200024,323.4300014
SEGERA PLANTATIONS,2008,264858.5682,19719.88908,737.1000029,729.1000092,378.699999,492.700004,715.9999995,650.6000001,843.3999967,730.3999982,617.3999997,413.0999978,753.300002,583.9000015,650.3999996,307.0999991,520.3999996,585.5000035,739.3500013,893.1999992,726.7999998,1067.199999,567.5000018,380.4999989,441.6999988,464.9000008,548.9000001,556.1999999,1293.100001,597.2999977,269.1000004
SOLIO RANCH,2193,263894.931,9972629.215,716.7000014,593.099997,538.7000045,608.2000022,675.9000022,582.9000018,762.0000041,723.1000061,850.9000053,557.9000055,892.5000057,799.3000002,645.9999891,406.5999961,492.0999947,612.7999931,626.8999979,945.6999948,913.299989,859.2999921,655.7999973,639,530.5,625.6000004,659.7999994,767.3000011,890.5999966,,
SOUTH MARMANET FOREST STN,2576,207597.701,5215.428003,1323.100001,622.7999997,773.3999971,1021.000002,951.4999987,1119.35,1287.200002,1064.100001,911.4999996,1044.750002,1178.000004,1217.900004,1025.699998,547.9000027,1022.499995,767.1000024,709.8999973,1250.299997,1111.100004,781.300006,860.6999977,842.1000016,862.6999992,1173.599999,838.7000019,462.8999998,1014.200004,817.6000026,621.0000014
TIMAU MARANIA,2787,328143.9456,9831.22607,615.4000077,810.0000023,639.8000014,849.0999969,740.1999948,669.0000027,1004.100001,1063.499991,1097.399999,784.0999969,1182.900005,1213.999996,1116.099989,831.6999938,755.4000057,1108.499996,725.2999996,1526.4,1033.399994,1137.600005,867.0999982,1103.4,933.5999993,1325.499994,1096.200003,1012.999999,,,
TRENCH FARM,2161,284461.4415,4286.223513,993.9000018,723.3000052,705.300004,868.9000039,864.2000004,870.3000031,878.7000034,999.9000041,913.2000041,469.6999988,934.8000063,707.3000038,789.3999887,475.899992,649.99999,839.0999925,646.9999982,1132.099986,924.3999927,854.9999936,569.7999939,748.1000004,797.8999909,816.0999895,684.4019959,552.7040023,1245.870003,,
